Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
111,Northwestern Mutual,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,-14,no,yes,no,yes,no,8323,,36921,0.5,912,-6.7,340390,John E. Schlifske,U.S.,Milwaukee,WI,www.northwesternmutual.com,Private,,,8/2/2023
112,Travelers,TRV,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,-9,no,yes,no,yes,no,32175,39783,36884,5.9,2842,-22.4,115717,Alan D. Schnitzer,U.S.,New York,NY,www.travelers.com,Public,"Market value as of July 17, 2023.",38940,8/2/2023
113,Northrop Grumman,NOC,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,-12,no,yes,no,yes,no,95000,70203,36602,2.6,4896,-30.1,43755,Kathy J. Warden,U.S.,Falls Church,VA,www.northropgrumman.com,Public,"Market value as of July 17, 2023.",68981,8/2/2023
114,USAA,,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-18,no,yes,no,yes,no,36820,,36297,-3.1,-1296,-139.3,204005,Wayne Peacock,U.S.,San Antonio,TX,www.usaa.com,Private,,,8/2/2023
115,Honeywell International,HON,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-10,no,yes,no,yes,no,97000,127695,35466,3.1,4966,-10.4,62275,Vimal Kapur,U.S.,Charlotte,NC,www.honeywell.com,Public,"Market value as of July 17, 2023.",138574,8/2/2023
116,3M,MMM,Chemicals,Chemicals,yes,no,no,no,-14,no,yes,no,yes,no,92000,57965,34229,-3.2,5777,-2.4,46455,Michael F. Roman,U.S.,St. Paul,MN,www.3m.com,Public,"Market value as of July 17, 2023.",56105,8/2/2023
117,US Foods Holding,USFD,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,,,,no,yes,no,29000,8568,34057,15.5,265,61.6,12773,David E. Flitman,U.S.,Rosemont,IL,www.usfoods.com,Public,"Market value as of July 17, 2023.",10199,8/2/2023
118,Warner Bros. Discovery,WBD,Media,Entertainment,no,no,no,yes,192,yes,no,no,no,no,37500,36778,33817,177.4,-7371,-832.7,134001,David M. Zaslav,U.S.,New York,NY,wbd.com,Public,"Market value as of July 17, 2023.",29988,8/2/2023
119,Lennar,LEN,Engineering & Construction,Homebuilders,yes,no,no,yes,12,yes,no,no,no,no,12012,29726,33671,24.1,4614,4.2,37984,Jonathan M. Jaffe,U.S.,Miami,FL,www.lennar.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of July 17, 2023.",37047,8/2/2023
120,D.R. Horton,DHI,Engineering & Construction,Homebuilders,yes,no,no,yes,4,yes,no,no,no,no,13237,33546,33480,20.5,5858,40.3,30351,David V. Auld,U.S.,Arlington,TX,www.drhorton.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",43674,8/2/2023
121,Jabil,JBL,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-2,no,yes,no,yes,no,250000,11750,33478,14.3,996,43.1,19717,Kenneth S. Wilson,U.S.,St. Petersburg,FL,www.jabil.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",14759,8/2/2023
122,Cheniere Energy,LNG,Energy,Pipelines,yes,no,no,yes,111,yes,no,no,no,no,1551,38408,33428,110.7,1428,,41266,Jack A. Fusco,U.S.,Houston,TX,www.cheniere.com,Public,"Market value as of July 17, 2023.",37656,8/2/2023
